,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
338,ouesso,1.61,16.05,75.31,76,100,3.29,CG,1595536927
339,kahului,20.89,-156.47,87.8,48,20,19.46,US,1595536664
340,mogadishu,2.04,45.34,76.78,73,35,22.32,SO,1595536927
341,kalmunai,7.42,81.82,78.76,82,31,13.35,LK,1595536927
342,itarema,-2.92,-39.92,79.97,69,65,16.84,BR,1595536928
343,araguaina,-7.19,-48.21,86.05,35,78,3.96,BR,1595536787
344,alice springs,-23.7,133.88,37.4,74,0,5.82,AU,1595536928
345,whitehorse,60.72,-135.05,55.4,82,90,5.82,CA,1595536715
346,san ramon de la nueva oran,-23.13,-64.33,59.0,67,26,6.06,AR,1595536929
347,kralendijk,12.15,-68.27,87.8,62,40,17.22,BQ,1595536869
348,adrar,20.5,-10.07,100.78,17,39,7.09,MR,1595536929
349,zhicheng,30.3,111.5,75.0,82,100,1.21,CN,1595536929
350,puerto penasco,31.32,-113.53,86.0,83,0,21.0,MX,1595536930
351,sorland,67.67,12.69,50.0,87,75,16.11,NO,1595536930
352,egvekinot,66.32,-179.17,59.43,54,59,2.64,RU,1595536930
353,kavieng,-2.57,150.8,82.85,74,41,6.89,PG,1595536930
354,moerai,-22.43,-151.33,72.05,78,9,11.45,PF,1595536932
355,presidente medici,-11.18,-61.9,92.44,29,2,3.42,BR,1595536932
356,martapura,-3.42,114.85,75.2,100,40,2.24,ID,1595536932
357,mayor pablo lagerenza,-19.93,-60.77,91.24,25,5,6.78,PY,1595536932
358,islampur,26.27,88.2,77.99,91,97,8.23,IN,1595536933
359,san pedro,14.35,121.02,88.0,88,100,3.36,PH,1595536933
360,lososina,49.0,140.31,55.54,95,100,4.18,RU,1595536933
361,pandan niog,6.23,120.56,83.44,67,100,1.63,PH,1595536934
362,bathsheba,13.22,-59.52,87.8,58,40,13.87,BB,1595536934
363,banda aceh,5.56,95.32,77.95,78,100,4.76,ID,1595536934
364,ignalina,55.35,26.17,48.15,95,28,6.6,LT,1595536934
365,saint-joseph,-21.37,55.62,64.99,77,75,17.22,RE,1595536935
366,seddon,-37.81,144.89,46.99,86,36,5.82,AU,1595536935
367,piacabucu,-10.41,-36.43,73.71,80,98,7.9,BR,1595536935
368,rincon,32.3,-81.24,93.2,52,75,16.11,US,1595536936
369,mira,45.44,12.13,78.8,74,12,3.36,IT,1595536936
370,bengkulu,-3.8,102.27,75.02,88,100,3.98,ID,1595536717
371,belaya gora,68.53,146.42,82.87,38,16,5.37,RU,1595536936
372,cabo san lucas,22.89,-109.91,91.4,61,5,17.22,MX,1595536854
373,kindu,-2.95,25.95,80.24,49,93,1.39,CD,1595536937
374,constantine,36.37,6.61,77.0,57,20,8.05,DZ,1595536937
375,lahij,13.17,44.58,86.86,52,0,5.12,YE,1595536937
376,ayacucho,-13.16,-74.22,70.21,24,22,5.64,PE,1595536937
377,udachnyy,66.42,112.4,50.0,87,0,6.71,RU,1595536937
378,carlsbad,33.16,-117.35,79.0,60,1,5.82,US,1595536938
379,kailua,21.4,-157.74,84.2,54,40,9.17,US,1595536938
380,ixtapa,20.7,-105.2,89.01,74,75,11.41,MX,1595536938
381,tamandare,-8.76,-35.1,75.04,78,9,9.62,BR,1595536939
382,anadyr,64.75,177.48,55.4,66,95,4.47,RU,1595536939
383,caramay,10.18,119.24,80.29,78,100,2.24,PH,1595536939
